,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,min_region_size_in_mm3,motion_regress,n_regions,region_extraction,scores,scoring,smoothing_fwhm
0,0,dictlearn,svc_l1,yes,no,COBRE,40,0,correlation,1500,yes,104,yes,[ 0.671875],roc_auc,6.0
1,1,dictlearn,svc_l2,yes,no,COBRE,40,0,correlation,1500,yes,104,yes,[ 0.740625],roc_auc,6.0
2,2,dictlearn,ridge,yes,no,COBRE,40,0,correlation,1500,yes,104,yes,[ 0.7375],roc_auc,6.0
3,3,dictlearn,svc_l1,yes,no,COBRE,40,0,partial correlation,1500,yes,104,yes,[ 0.615625],roc_auc,6.0
4,4,dictlearn,svc_l2,yes,no,COBRE,40,0,partial correlation,1500,yes,104,yes,[ 0.790625],roc_auc,6.0
5,5,dictlearn,ridge,yes,no,COBRE,40,0,partial correlation,1500,yes,104,yes,[ 0.790625],roc_auc,6.0
6,6,dictlearn,svc_l1,yes,no,COBRE,40,0,tangent,1500,yes,104,yes,[ 0.659375],roc_auc,6.0
7,7,dictlearn,svc_l2,yes,no,COBRE,40,0,tangent,1500,yes,104,yes,[ 0.796875],roc_auc,6.0
8,8,dictlearn,ridge,yes,no,COBRE,40,0,tangent,1500,yes,104,yes,[ 0.796875],roc_auc,6.0
9,9,dictlearn,svc_l1,yes,no,COBRE,40,1,correlation,1500,yes,98,yes,[ 0.734375],roc_auc,6.0
10,10,dictlearn,svc_l2,yes,no,COBRE,40,1,correlation,1500,yes,98,yes,[ 0.73125],roc_auc,6.0
11,11,dictlearn,ridge,yes,no,COBRE,40,1,correlation,1500,yes,98,yes,[ 0.73125],roc_auc,6.0
12,12,dictlearn,svc_l1,yes,no,COBRE,40,1,partial correlation,1500,yes,98,yes,[ 0.659375],roc_auc,6.0
13,13,dictlearn,svc_l2,yes,no,COBRE,40,1,partial correlation,1500,yes,98,yes,[ 0.771875],roc_auc,6.0
14,14,dictlearn,ridge,yes,no,COBRE,40,1,partial correlation,1500,yes,98,yes,[ 0.76875],roc_auc,6.0
15,15,dictlearn,svc_l1,yes,no,COBRE,40,1,tangent,1500,yes,98,yes,[ 0.771875],roc_auc,6.0
16,16,dictlearn,svc_l2,yes,no,COBRE,40,1,tangent,1500,yes,98,yes,[ 0.8375],roc_auc,6.0
17,17,dictlearn,ridge,yes,no,COBRE,40,1,tangent,1500,yes,98,yes,[ 0.8375],roc_auc,6.0
18,18,dictlearn,svc_l1,yes,no,COBRE,40,2,correlation,1500,yes,117,yes,[ 0.678125],roc_auc,6.0
19,19,dictlearn,svc_l2,yes,no,COBRE,40,2,correlation,1500,yes,117,yes,[ 0.825],roc_auc,6.0
20,20,dictlearn,ridge,yes,no,COBRE,40,2,correlation,1500,yes,117,yes,[ 0.825],roc_auc,6.0
21,21,dictlearn,svc_l1,yes,no,COBRE,40,2,partial correlation,1500,yes,117,yes,[ 0.7125],roc_auc,6.0
22,22,dictlearn,svc_l2,yes,no,COBRE,40,2,partial correlation,1500,yes,117,yes,[ 0.875],roc_auc,6.0
23,23,dictlearn,ridge,yes,no,COBRE,40,2,partial correlation,1500,yes,117,yes,[ 0.875],roc_auc,6.0
24,24,dictlearn,svc_l1,yes,no,COBRE,40,2,tangent,1500,yes,117,yes,[ 0.678125],roc_auc,6.0
25,25,dictlearn,svc_l2,yes,no,COBRE,40,2,tangent,1500,yes,117,yes,[ 0.884375],roc_auc,6.0
26,26,dictlearn,ridge,yes,no,COBRE,40,2,tangent,1500,yes,117,yes,[ 0.8875],roc_auc,6.0
27,27,dictlearn,svc_l1,yes,no,COBRE,40,3,correlation,1500,yes,106,yes,[ 0.653125],roc_auc,6.0
28,28,dictlearn,svc_l2,yes,no,COBRE,40,3,correlation,1500,yes,106,yes,[ 0.8125],roc_auc,6.0
29,29,dictlearn,ridge,yes,no,COBRE,40,3,correlation,1500,yes,106,yes,[ 0.81875],roc_auc,6.0
30,30,dictlearn,svc_l1,yes,no,COBRE,40,3,partial correlation,1500,yes,106,yes,[ 0.671875],roc_auc,6.0
31,31,dictlearn,svc_l2,yes,no,COBRE,40,3,partial correlation,1500,yes,106,yes,[ 0.79375],roc_auc,6.0
32,32,dictlearn,ridge,yes,no,COBRE,40,3,partial correlation,1500,yes,106,yes,[ 0.79375],roc_auc,6.0
33,33,dictlearn,svc_l1,yes,no,COBRE,40,3,tangent,1500,yes,106,yes,[ 0.728125],roc_auc,6.0
34,34,dictlearn,svc_l2,yes,no,COBRE,40,3,tangent,1500,yes,106,yes,[ 0.871875],roc_auc,6.0
35,35,dictlearn,ridge,yes,no,COBRE,40,3,tangent,1500,yes,106,yes,[ 0.871875],roc_auc,6.0
36,36,dictlearn,svc_l1,yes,no,COBRE,40,4,correlation,1500,yes,109,yes,[ 0.64375],roc_auc,6.0
37,37,dictlearn,svc_l2,yes,no,COBRE,40,4,correlation,1500,yes,109,yes,[ 0.83125],roc_auc,6.0
38,38,dictlearn,ridge,yes,no,COBRE,40,4,correlation,1500,yes,109,yes,[ 0.83125],roc_auc,6.0
39,39,dictlearn,svc_l1,yes,no,COBRE,40,4,partial correlation,1500,yes,109,yes,[ 0.625],roc_auc,6.0
40,40,dictlearn,svc_l2,yes,no,COBRE,40,4,partial correlation,1500,yes,109,yes,[ 0.825],roc_auc,6.0
41,41,dictlearn,ridge,yes,no,COBRE,40,4,partial correlation,1500,yes,109,yes,[ 0.821875],roc_auc,6.0
42,42,dictlearn,svc_l1,yes,no,COBRE,40,4,tangent,1500,yes,109,yes,[ 0.78125],roc_auc,6.0
43,43,dictlearn,svc_l2,yes,no,COBRE,40,4,tangent,1500,yes,109,yes,[ 0.89375],roc_auc,6.0
44,44,dictlearn,ridge,yes,no,COBRE,40,4,tangent,1500,yes,109,yes,[ 0.89375],roc_auc,6.0
45,45,dictlearn,svc_l1,yes,no,COBRE,40,5,correlation,1500,yes,111,yes,[ 0.609375],roc_auc,6.0
46,46,dictlearn,svc_l2,yes,no,COBRE,40,5,correlation,1500,yes,111,yes,[ 0.696875],roc_auc,6.0
47,47,dictlearn,ridge,yes,no,COBRE,40,5,correlation,1500,yes,111,yes,[ 0.696875],roc_auc,6.0
48,48,dictlearn,svc_l1,yes,no,COBRE,40,5,partial correlation,1500,yes,111,yes,[ 0.73125],roc_auc,6.0
49,49,dictlearn,svc_l2,yes,no,COBRE,40,5,partial correlation,1500,yes,111,yes,[ 0.81875],roc_auc,6.0
50,50,dictlearn,ridge,yes,no,COBRE,40,5,partial correlation,1500,yes,111,yes,[ 0.821875],roc_auc,6.0
51,51,dictlearn,svc_l1,yes,no,COBRE,40,5,tangent,1500,yes,111,yes,[ 0.671875],roc_auc,6.0
52,52,dictlearn,svc_l2,yes,no,COBRE,40,5,tangent,1500,yes,111,yes,[ 0.784375],roc_auc,6.0
53,53,dictlearn,ridge,yes,no,COBRE,40,5,tangent,1500,yes,111,yes,[ 0.784375],roc_auc,6.0
54,54,dictlearn,svc_l1,yes,no,COBRE,40,6,correlation,1500,yes,115,yes,[ 0.646875],roc_auc,6.0
55,55,dictlearn,svc_l2,yes,no,COBRE,40,6,correlation,1500,yes,115,yes,[ 0.821875],roc_auc,6.0
56,56,dictlearn,ridge,yes,no,COBRE,40,6,correlation,1500,yes,115,yes,[ 0.815625],roc_auc,6.0
57,57,dictlearn,svc_l1,yes,no,COBRE,40,6,partial correlation,1500,yes,115,yes,[ 0.71875],roc_auc,6.0
58,58,dictlearn,svc_l2,yes,no,COBRE,40,6,partial correlation,1500,yes,115,yes,[ 0.853125],roc_auc,6.0
59,59,dictlearn,ridge,yes,no,COBRE,40,6,partial correlation,1500,yes,115,yes,[ 0.85625],roc_auc,6.0
60,60,dictlearn,svc_l1,yes,no,COBRE,40,6,tangent,1500,yes,115,yes,[ 0.796875],roc_auc,6.0
61,61,dictlearn,svc_l2,yes,no,COBRE,40,6,tangent,1500,yes,115,yes,[ 0.871875],roc_auc,6.0
62,62,dictlearn,ridge,yes,no,COBRE,40,6,tangent,1500,yes,115,yes,[ 0.875],roc_auc,6.0
63,63,dictlearn,svc_l1,yes,no,COBRE,40,7,correlation,1500,yes,101,yes,[ 0.60625],roc_auc,6.0
64,64,dictlearn,svc_l2,yes,no,COBRE,40,7,correlation,1500,yes,101,yes,[ 0.75],roc_auc,6.0
65,65,dictlearn,ridge,yes,no,COBRE,40,7,correlation,1500,yes,101,yes,[ 0.753125],roc_auc,6.0
66,66,dictlearn,svc_l1,yes,no,COBRE,40,7,partial correlation,1500,yes,101,yes,[ 0.74375],roc_auc,6.0
67,67,dictlearn,svc_l2,yes,no,COBRE,40,7,partial correlation,1500,yes,101,yes,[ 0.85],roc_auc,6.0
68,68,dictlearn,ridge,yes,no,COBRE,40,7,partial correlation,1500,yes,101,yes,[ 0.85],roc_auc,6.0
69,69,dictlearn,svc_l1,yes,no,COBRE,40,7,tangent,1500,yes,101,yes,[ 0.6375],roc_auc,6.0
70,70,dictlearn,svc_l2,yes,no,COBRE,40,7,tangent,1500,yes,101,yes,[ 0.81875],roc_auc,6.0
71,71,dictlearn,ridge,yes,no,COBRE,40,7,tangent,1500,yes,101,yes,[ 0.821875],roc_auc,6.0
72,72,dictlearn,svc_l1,yes,no,COBRE,40,8,correlation,1500,yes,104,yes,[ 0.7125],roc_auc,6.0
