,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
0,ho_cort_symm_split,svc_l1,ADNI,0,correlation,NA,0.34166667,96
1,ho_cort_symm_split,svc_l2,ADNI,0,correlation,NA,0.51666667,96
2,ho_cort_symm_split,ridge,ADNI,0,correlation,NA,0.54166667,96
3,ho_cort_symm_split,svc_l1,ADNI,0,partial correlation,NA,0.4875,96
4,ho_cort_symm_split,svc_l2,ADNI,0,partial correlation,NA,0.64583333,96
5,ho_cort_symm_split,ridge,ADNI,0,partial correlation,NA,0.6375,96
6,ho_cort_symm_split,svc_l1,ADNI,0,tangent,NA,0.49583333,96
7,ho_cort_symm_split,svc_l2,ADNI,0,tangent,NA,0.56666667,96
8,ho_cort_symm_split,ridge,ADNI,0,tangent,NA,0.55833333,96
9,aal_spm12,svc_l1,ADNI,0,correlation,NA,0.49166667,117
10,aal_spm12,svc_l2,ADNI,0,correlation,NA,0.525,117
11,aal_spm12,ridge,ADNI,0,correlation,NA,0.5375,117
12,aal_spm12,svc_l1,ADNI,0,partial correlation,NA,0.45416667,117
13,aal_spm12,svc_l2,ADNI,0,partial correlation,NA,0.42083333,117
14,aal_spm12,ridge,ADNI,0,partial correlation,NA,0.425,117
15,aal_spm12,svc_l1,ADNI,0,tangent,NA,0.45,117
16,aal_spm12,svc_l2,ADNI,0,tangent,NA,0.45833333,117
17,aal_spm12,ridge,ADNI,0,tangent,NA,0.4625,117
18,basc_scale122,svc_l1,ADNI,0,correlation,NA,0.65,122
19,basc_scale122,svc_l2,ADNI,0,correlation,NA,0.7125,122
20,basc_scale122,ridge,ADNI,0,correlation,NA,0.71666667,122
21,basc_scale122,svc_l1,ADNI,0,partial correlation,NA,0.53333333,122
22,basc_scale122,svc_l2,ADNI,0,partial correlation,NA,0.61666667,122
23,basc_scale122,ridge,ADNI,0,partial correlation,NA,0.61666667,122
24,basc_scale122,svc_l1,ADNI,0,tangent,NA,0.64166667,122
25,basc_scale122,svc_l2,ADNI,0,tangent,NA,0.69166667,122
26,basc_scale122,ridge,ADNI,0,tangent,NA,0.65,122
27,ho_cort_symm_split,svc_l1,ADNI,1,correlation,NA,0.4125,96
28,ho_cort_symm_split,svc_l2,ADNI,1,correlation,NA,0.64583333,96
29,ho_cort_symm_split,ridge,ADNI,1,correlation,NA,0.66666667,96
30,ho_cort_symm_split,svc_l1,ADNI,1,partial correlation,NA,0.29166667,96
31,ho_cort_symm_split,svc_l2,ADNI,1,partial correlation,NA,0.60416667,96
32,ho_cort_symm_split,ridge,ADNI,1,partial correlation,NA,0.60833333,96
33,ho_cort_symm_split,svc_l1,ADNI,1,tangent,NA,0.55416667,96
34,ho_cort_symm_split,svc_l2,ADNI,1,tangent,NA,0.65833333,96
35,ho_cort_symm_split,ridge,ADNI,1,tangent,NA,0.67083333,96
36,aal_spm12,svc_l1,ADNI,1,correlation,NA,0.8375,117
37,aal_spm12,svc_l2,ADNI,1,correlation,NA,0.69166667,117
38,aal_spm12,ridge,ADNI,1,correlation,NA,0.69583333,117
39,aal_spm12,svc_l1,ADNI,1,partial correlation,NA,0.49583333,117
40,aal_spm12,svc_l2,ADNI,1,partial correlation,NA,0.53333333,117
41,aal_spm12,ridge,ADNI,1,partial correlation,NA,0.5375,117
42,aal_spm12,svc_l1,ADNI,1,tangent,NA,0.45416667,117
43,aal_spm12,svc_l2,ADNI,1,tangent,NA,0.6375,117
44,aal_spm12,ridge,ADNI,1,tangent,NA,0.6625,117
45,basc_scale122,svc_l1,ADNI,1,correlation,NA,0.5375,122
46,basc_scale122,svc_l2,ADNI,1,correlation,NA,0.6875,122
47,basc_scale122,ridge,ADNI,1,correlation,NA,0.69583333,122
48,basc_scale122,svc_l1,ADNI,1,partial correlation,NA,0.55,122
49,basc_scale122,svc_l2,ADNI,1,partial correlation,NA,0.5625,122
50,basc_scale122,ridge,ADNI,1,partial correlation,NA,0.5625,122
51,basc_scale122,svc_l1,ADNI,1,tangent,NA,0.76666667,122
52,basc_scale122,svc_l2,ADNI,1,tangent,NA,0.6625,122
53,basc_scale122,ridge,ADNI,1,tangent,NA,0.675,122
54,ho_cort_symm_split,svc_l1,ADNI,2,correlation,NA,0.51666667,96
55,ho_cort_symm_split,svc_l2,ADNI,2,correlation,NA,0.49583333,96
56,ho_cort_symm_split,ridge,ADNI,2,correlation,NA,0.53333333,96
57,ho_cort_symm_split,svc_l1,ADNI,2,partial correlation,NA,0.575,96
58,ho_cort_symm_split,svc_l2,ADNI,2,partial correlation,NA,0.57083333,96
59,ho_cort_symm_split,ridge,ADNI,2,partial correlation,NA,0.56666667,96
60,ho_cort_symm_split,svc_l1,ADNI,2,tangent,NA,0.55,96
61,ho_cort_symm_split,svc_l2,ADNI,2,tangent,NA,0.60416667,96
62,ho_cort_symm_split,ridge,ADNI,2,tangent,NA,0.60416667,96
63,aal_spm12,svc_l1,ADNI,2,correlation,NA,0.44583333,117
64,aal_spm12,svc_l2,ADNI,2,correlation,NA,0.47083333,117
65,aal_spm12,ridge,ADNI,2,correlation,NA,0.56666667,117
66,aal_spm12,svc_l1,ADNI,2,partial correlation,NA,0.55416667,117
67,aal_spm12,svc_l2,ADNI,2,partial correlation,NA,0.5875,117
68,aal_spm12,ridge,ADNI,2,partial correlation,NA,0.58333333,117
69,aal_spm12,svc_l1,ADNI,2,tangent,NA,0.5625,117
70,aal_spm12,svc_l2,ADNI,2,tangent,NA,0.59166667,117
71,aal_spm12,ridge,ADNI,2,tangent,NA,0.575,117
72,basc_scale122,svc_l1,ADNI,2,correlation,NA,0.64166667,122
73,basc_scale122,svc_l2,ADNI,2,correlation,NA,0.65,122
74,basc_scale122,ridge,ADNI,2,correlation,NA,0.72083333,122
75,basc_scale122,svc_l1,ADNI,2,partial correlation,NA,0.48333333,122
76,basc_scale122,svc_l2,ADNI,2,partial correlation,NA,0.6125,122
77,basc_scale122,ridge,ADNI,2,partial correlation,NA,0.6125,122
78,basc_scale122,svc_l1,ADNI,2,tangent,NA,0.43333333,122
79,basc_scale122,svc_l2,ADNI,2,tangent,NA,0.65,122
80,basc_scale122,ridge,ADNI,2,tangent,NA,0.64583333,122
81,ho_cort_symm_split,svc_l1,ADNI,3,correlation,NA,0.66666667,96
82,ho_cort_symm_split,svc_l2,ADNI,3,correlation,NA,0.62916667,96
83,ho_cort_symm_split,ridge,ADNI,3,correlation,NA,0.62083333,96
84,ho_cort_symm_split,svc_l1,ADNI,3,partial correlation,NA,0.4125,96
85,ho_cort_symm_split,svc_l2,ADNI,3,partial correlation,NA,0.5125,96
86,ho_cort_symm_split,ridge,ADNI,3,partial correlation,NA,0.50833333,96
87,ho_cort_symm_split,svc_l1,ADNI,3,tangent,NA,0.57916667,96
88,ho_cort_symm_split,svc_l2,ADNI,3,tangent,NA,0.55,96
89,ho_cort_symm_split,ridge,ADNI,3,tangent,NA,0.5125,96
90,aal_spm12,svc_l1,ADNI,3,correlation,NA,0.4125,117
91,aal_spm12,svc_l2,ADNI,3,correlation,NA,0.5625,117
92,aal_spm12,ridge,ADNI,3,correlation,NA,0.55416667,117
93,aal_spm12,svc_l1,ADNI,3,partial correlation,NA,0.79166667,117
94,aal_spm12,svc_l2,ADNI,3,partial correlation,NA,0.61666667,117
95,aal_spm12,ridge,ADNI,3,partial correlation,NA,0.61666667,117
96,aal_spm12,svc_l1,ADNI,3,tangent,NA,0.575,117
97,aal_spm12,svc_l2,ADNI,3,tangent,NA,0.60416667,117
98,aal_spm12,ridge,ADNI,3,tangent,NA,0.59166667,117
99,basc_scale122,svc_l1,ADNI,3,correlation,NA,0.69166667,122
100,basc_scale122,svc_l2,ADNI,3,correlation,NA,0.68333333,122
101,basc_scale122,ridge,ADNI,3,correlation,NA,0.67083333,122
102,basc_scale122,svc_l1,ADNI,3,partial correlation,NA,0.42916667,122
103,basc_scale122,svc_l2,ADNI,3,partial correlation,NA,0.54583333,122
104,basc_scale122,ridge,ADNI,3,partial correlation,NA,0.54583333,122
105,basc_scale122,svc_l1,ADNI,3,tangent,NA,0.6,122
106,basc_scale122,svc_l2,ADNI,3,tangent,NA,0.62083333,122
107,basc_scale122,ridge,ADNI,3,tangent,NA,0.6,122
108,ho_cort_symm_split,svc_l1,ADNI,4,correlation,NA,0.69583333,96
109,ho_cort_symm_split,svc_l2,ADNI,4,correlation,NA,0.75416667,96
110,ho_cort_symm_split,ridge,ADNI,4,correlation,NA,0.77916667,96
111,ho_cort_symm_split,svc_l1,ADNI,4,partial correlation,NA,0.65416667,96
112,ho_cort_symm_split,svc_l2,ADNI,4,partial correlation,NA,0.65,96
113,ho_cort_symm_split,ridge,ADNI,4,partial correlation,NA,0.65416667,96
114,ho_cort_symm_split,svc_l1,ADNI,4,tangent,NA,0.73333333,96
115,ho_cort_symm_split,svc_l2,ADNI,4,tangent,NA,0.70416667,96
116,ho_cort_symm_split,ridge,ADNI,4,tangent,NA,0.725,96
117,aal_spm12,svc_l1,ADNI,4,correlation,NA,0.675,117
118,aal_spm12,svc_l2,ADNI,4,correlation,NA,0.5875,117
119,aal_spm12,ridge,ADNI,4,correlation,NA,0.5875,117
120,aal_spm12,svc_l1,ADNI,4,partial correlation,NA,0.56666667,117
121,aal_spm12,svc_l2,ADNI,4,partial correlation,NA,0.67083333,117
122,aal_spm12,ridge,ADNI,4,partial correlation,NA,0.67083333,117
123,aal_spm12,svc_l1,ADNI,4,tangent,NA,0.5875,117
124,aal_spm12,svc_l2,ADNI,4,tangent,NA,0.69583333,117
125,aal_spm12,ridge,ADNI,4,tangent,NA,0.67083333,117
126,basc_scale122,svc_l1,ADNI,4,correlation,NA,0.5875,122
127,basc_scale122,svc_l2,ADNI,4,correlation,NA,0.66666667,122
128,basc_scale122,ridge,ADNI,4,correlation,NA,0.67916667,122
129,basc_scale122,svc_l1,ADNI,4,partial correlation,NA,0.47083333,122
130,basc_scale122,svc_l2,ADNI,4,partial correlation,NA,0.64583333,122
131,basc_scale122,ridge,ADNI,4,partial correlation,NA,0.64583333,122
132,basc_scale122,svc_l1,ADNI,4,tangent,NA,0.64583333,122
133,basc_scale122,svc_l2,ADNI,4,tangent,NA,0.75833333,122
134,basc_scale122,ridge,ADNI,4,tangent,NA,0.8,122
135,ho_cort_symm_split,svc_l1,ADNI,5,correlation,NA,0.63333333,96
136,ho_cort_symm_split,svc_l2,ADNI,5,correlation,NA,0.6875,96
137,ho_cort_symm_split,ridge,ADNI,5,correlation,NA,0.65833333,96
138,ho_cort_symm_split,svc_l1,ADNI,5,partial correlation,NA,0.45833333,96
139,ho_cort_symm_split,svc_l2,ADNI,5,partial correlation,NA,0.6,96
140,ho_cort_symm_split,ridge,ADNI,5,partial correlation,NA,0.6,96
141,ho_cort_symm_split,svc_l1,ADNI,5,tangent,NA,0.63333333,96
142,ho_cort_symm_split,svc_l2,ADNI,5,tangent,NA,0.56666667,96
143,ho_cort_symm_split,ridge,ADNI,5,tangent,NA,0.57916667,96
144,aal_spm12,svc_l1,ADNI,5,correlation,NA,0.75,117
145,aal_spm12,svc_l2,ADNI,5,correlation,NA,0.69166667,117
146,aal_spm12,ridge,ADNI,5,correlation,NA,0.67916667,117
147,aal_spm12,svc_l1,ADNI,5,partial correlation,NA,0.55416667,117
148,aal_spm12,svc_l2,ADNI,5,partial correlation,NA,0.60416667,117
149,aal_spm12,ridge,ADNI,5,partial correlation,NA,0.60833333,117
150,aal_spm12,svc_l1,ADNI,5,tangent,NA,0.55833333,117
151,aal_spm12,svc_l2,ADNI,5,tangent,NA,0.72083333,117
152,aal_spm12,ridge,ADNI,5,tangent,NA,0.70833333,117
153,basc_scale122,svc_l1,ADNI,5,correlation,NA,0.70416667,122
154,basc_scale122,svc_l2,ADNI,5,correlation,NA,0.6875,122
155,basc_scale122,ridge,ADNI,5,correlation,NA,0.7,122
156,basc_scale122,svc_l1,ADNI,5,partial correlation,NA,0.525,122
157,basc_scale122,svc_l2,ADNI,5,partial correlation,NA,0.69166667,122
158,basc_scale122,ridge,ADNI,5,partial correlation,NA,0.6875,122
159,basc_scale122,svc_l1,ADNI,5,tangent,NA,0.62083333,122
160,basc_scale122,svc_l2,ADNI,5,tangent,NA,0.7625,122
161,basc_scale122,ridge,ADNI,5,tangent,NA,0.775,122
162,ho_cort_symm_split,svc_l1,ADNI,6,correlation,NA,0.6125,96
163,ho_cort_symm_split,svc_l2,ADNI,6,correlation,NA,0.5375,96
164,ho_cort_symm_split,ridge,ADNI,6,correlation,NA,0.53333333,96
165,ho_cort_symm_split,svc_l1,ADNI,6,partial correlation,NA,0.37916667,96
166,ho_cort_symm_split,svc_l2,ADNI,6,partial correlation,NA,0.7125,96
167,ho_cort_symm_split,ridge,ADNI,6,partial correlation,NA,0.70833333,96
168,ho_cort_symm_split,svc_l1,ADNI,6,tangent,NA,0.5625,96
169,ho_cort_symm_split,svc_l2,ADNI,6,tangent,NA,0.72916667,96
170,ho_cort_symm_split,ridge,ADNI,6,tangent,NA,0.72083333,96
171,aal_spm12,svc_l1,ADNI,6,correlation,NA,0.62916667,117
172,aal_spm12,svc_l2,ADNI,6,correlation,NA,0.525,117
173,aal_spm12,ridge,ADNI,6,correlation,NA,0.52083333,117
174,aal_spm12,svc_l1,ADNI,6,partial correlation,NA,0.45416667,117
175,aal_spm12,svc_l2,ADNI,6,partial correlation,NA,0.625,117
176,aal_spm12,ridge,ADNI,6,partial correlation,NA,0.625,117
177,aal_spm12,svc_l1,ADNI,6,tangent,NA,0.4875,117
178,aal_spm12,svc_l2,ADNI,6,tangent,NA,0.6375,117
179,aal_spm12,ridge,ADNI,6,tangent,NA,0.6125,117
180,basc_scale122,svc_l1,ADNI,6,correlation,NA,0.72083333,122
181,basc_scale122,svc_l2,ADNI,6,correlation,NA,0.625,122
182,basc_scale122,ridge,ADNI,6,correlation,NA,0.63333333,122
183,basc_scale122,svc_l1,ADNI,6,partial correlation,NA,0.57916667,122
184,basc_scale122,svc_l2,ADNI,6,partial correlation,NA,0.57083333,122
185,basc_scale122,ridge,ADNI,6,partial correlation,NA,0.57916667,122
186,basc_scale122,svc_l1,ADNI,6,tangent,NA,0.75833333,122
187,basc_scale122,svc_l2,ADNI,6,tangent,NA,0.72916667,122
188,basc_scale122,ridge,ADNI,6,tangent,NA,0.74583333,122
189,ho_cort_symm_split,svc_l1,ADNI,7,correlation,NA,0.69166667,96
190,ho_cort_symm_split,svc_l2,ADNI,7,correlation,NA,0.60416667,96
