,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
0,ho_cort_symm_split,svc_l1,COBRE,0,correlation,NA,0.565625,96
1,ho_cort_symm_split,svc_l2,COBRE,0,correlation,NA,0.778125,96
2,ho_cort_symm_split,ridge,COBRE,0,correlation,NA,0.78125,96
3,ho_cort_symm_split,svc_l1,COBRE,0,partial correlation,NA,0.546875,96
4,ho_cort_symm_split,svc_l2,COBRE,0,partial correlation,NA,0.50625,96
5,ho_cort_symm_split,ridge,COBRE,0,partial correlation,NA,0.509375,96
6,ho_cort_symm_split,svc_l1,COBRE,0,tangent,NA,0.49375,96
7,ho_cort_symm_split,svc_l2,COBRE,0,tangent,NA,0.615625,96
8,ho_cort_symm_split,ridge,COBRE,0,tangent,NA,0.61875,96
9,aal_spm12,svc_l1,COBRE,0,correlation,NA,0.684375,117
10,aal_spm12,svc_l2,COBRE,0,correlation,NA,0.765625,117
11,aal_spm12,ridge,COBRE,0,correlation,NA,0.7625,117
12,aal_spm12,svc_l1,COBRE,0,partial correlation,NA,0.30625,117
13,aal_spm12,svc_l2,COBRE,0,partial correlation,NA,0.68125,117
14,aal_spm12,ridge,COBRE,0,partial correlation,NA,0.678125,117
15,aal_spm12,svc_l1,COBRE,0,tangent,NA,0.659375,117
16,aal_spm12,svc_l2,COBRE,0,tangent,NA,0.83125,117
17,aal_spm12,ridge,COBRE,0,tangent,NA,0.8375,117
18,basc_scale122,svc_l1,COBRE,0,correlation,NA,0.746875,122
19,basc_scale122,svc_l2,COBRE,0,correlation,NA,0.778125,122
20,basc_scale122,ridge,COBRE,0,correlation,NA,0.771875,122
21,basc_scale122,svc_l1,COBRE,0,partial correlation,NA,0.6625,122
22,basc_scale122,svc_l2,COBRE,0,partial correlation,NA,0.725,122
23,basc_scale122,ridge,COBRE,0,partial correlation,NA,0.725,122
24,basc_scale122,svc_l1,COBRE,0,tangent,NA,0.73125,122
25,basc_scale122,svc_l2,COBRE,0,tangent,NA,0.8,122
26,basc_scale122,ridge,COBRE,0,tangent,NA,0.796875,122
27,ho_cort_symm_split,svc_l1,COBRE,1,correlation,NA,0.64375,96
28,ho_cort_symm_split,svc_l2,COBRE,1,correlation,NA,0.68125,96
29,ho_cort_symm_split,ridge,COBRE,1,correlation,NA,0.70625,96
30,ho_cort_symm_split,svc_l1,COBRE,1,partial correlation,NA,0.534375,96
31,ho_cort_symm_split,svc_l2,COBRE,1,partial correlation,NA,0.603125,96
32,ho_cort_symm_split,ridge,COBRE,1,partial correlation,NA,0.603125,96
33,ho_cort_symm_split,svc_l1,COBRE,1,tangent,NA,0.61875,96
34,ho_cort_symm_split,svc_l2,COBRE,1,tangent,NA,0.728125,96
35,ho_cort_symm_split,ridge,COBRE,1,tangent,NA,0.721875,96
36,aal_spm12,svc_l1,COBRE,1,correlation,NA,0.603125,117
37,aal_spm12,svc_l2,COBRE,1,correlation,NA,0.6625,117
38,aal_spm12,ridge,COBRE,1,correlation,NA,0.65,117
39,aal_spm12,svc_l1,COBRE,1,partial correlation,NA,0.5125,117
40,aal_spm12,svc_l2,COBRE,1,partial correlation,NA,0.771875,117
41,aal_spm12,ridge,COBRE,1,partial correlation,NA,0.76875,117
