,Unnamed: 0,atlas,classifier,measure,n_iter,n_regions,scores
0,0,aal_spm12,svc_l1,correlation,0,117,[ 0.265625]
1,1,aal_spm12,svc_l2,correlation,0,117,[ 0.3203125]
2,2,aal_spm12,ridge,correlation,0,117,[ 0.31640625]
3,3,aal_spm12,svc_l1,partial correlation,0,117,[ 0.64453125]
4,4,aal_spm12,svc_l2,partial correlation,0,117,[ 0.56640625]
5,5,aal_spm12,ridge,partial correlation,0,117,[ 0.56640625]
6,6,aal_spm12,svc_l1,tangent,0,117,[ 0.43359375]
7,7,aal_spm12,svc_l2,tangent,0,117,[ 0.43359375]
8,8,aal_spm12,ridge,tangent,0,117,[ 0.44140625]
9,9,aal_spm12,svc_l1,correlation,1,117,[ 0.42578125]
10,10,aal_spm12,svc_l2,correlation,1,117,[ 0.33984375]
11,11,aal_spm12,ridge,correlation,1,117,[ 0.31640625]
12,12,aal_spm12,svc_l1,partial correlation,1,117,[ 0.4921875]
13,13,aal_spm12,svc_l2,partial correlation,1,117,[ 0.453125]
14,14,aal_spm12,ridge,partial correlation,1,117,[ 0.45703125]
15,15,aal_spm12,svc_l1,tangent,1,117,[ 0.44140625]
16,16,aal_spm12,svc_l2,tangent,1,117,[ 0.421875]
17,17,aal_spm12,ridge,tangent,1,117,[ 0.41796875]
18,18,aal_spm12,svc_l1,correlation,2,117,[ 0.46875]
19,19,aal_spm12,svc_l2,correlation,2,117,[ 0.43359375]
20,20,aal_spm12,ridge,correlation,2,117,[ 0.4453125]
21,21,aal_spm12,svc_l1,partial correlation,2,117,[ 0.40234375]
22,22,aal_spm12,svc_l2,partial correlation,2,117,[ 0.4765625]
23,23,aal_spm12,ridge,partial correlation,2,117,[ 0.44921875]
24,24,aal_spm12,svc_l1,tangent,2,117,[ 0.359375]
25,25,aal_spm12,svc_l2,tangent,2,117,[ 0.42578125]
26,26,aal_spm12,ridge,tangent,2,117,[ 0.421875]
