,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,iter_shuffle_split,measure,motion_regress,n_clusters,n_components,n_regions,scores,scoring,smoothing_fwhm
0,0,ho_cort_symm_split,svc_l1,yes,no,ADNI,0,correlation,yes,,,96,[ 0.34166667],roc_auc,6.0
1,1,ho_cort_symm_split,svc_l2,yes,no,ADNI,0,correlation,yes,,,96,[ 0.51666667],roc_auc,6.0
2,2,ho_cort_symm_split,ridge,yes,no,ADNI,0,correlation,yes,,,96,[ 0.54166667],roc_auc,6.0
3,3,ho_cort_symm_split,svc_l1,yes,no,ADNI,0,partial correlation,yes,,,96,[ 0.4875],roc_auc,6.0
4,4,ho_cort_symm_split,svc_l2,yes,no,ADNI,0,partial correlation,yes,,,96,[ 0.64583333],roc_auc,6.0
5,5,ho_cort_symm_split,ridge,yes,no,ADNI,0,partial correlation,yes,,,96,[ 0.6375],roc_auc,6.0
6,6,ho_cort_symm_split,svc_l1,yes,no,ADNI,0,tangent,yes,,,96,[ 0.49583333],roc_auc,6.0
7,7,ho_cort_symm_split,svc_l2,yes,no,ADNI,0,tangent,yes,,,96,[ 0.56666667],roc_auc,6.0
8,8,ho_cort_symm_split,ridge,yes,no,ADNI,0,tangent,yes,,,96,[ 0.55833333],roc_auc,6.0
9,9,aal_spm12,svc_l1,yes,no,ADNI,0,correlation,yes,,,117,[ 0.49166667],roc_auc,6.0
10,10,aal_spm12,svc_l2,yes,no,ADNI,0,correlation,yes,,,117,[ 0.525],roc_auc,6.0
11,11,aal_spm12,ridge,yes,no,ADNI,0,correlation,yes,,,117,[ 0.5375],roc_auc,6.0
12,12,aal_spm12,svc_l1,yes,no,ADNI,0,partial correlation,yes,,,117,[ 0.45416667],roc_auc,6.0
13,13,aal_spm12,svc_l2,yes,no,ADNI,0,partial correlation,yes,,,117,[ 0.42083333],roc_auc,6.0
14,14,aal_spm12,ridge,yes,no,ADNI,0,partial correlation,yes,,,117,[ 0.425],roc_auc,6.0
15,15,aal_spm12,svc_l1,yes,no,ADNI,0,tangent,yes,,,117,[ 0.45],roc_auc,6.0
16,16,aal_spm12,svc_l2,yes,no,ADNI,0,tangent,yes,,,117,[ 0.45833333],roc_auc,6.0
17,17,aal_spm12,ridge,yes,no,ADNI,0,tangent,yes,,,117,[ 0.4625],roc_auc,6.0
18,18,basc_scale122,svc_l1,yes,no,ADNI,0,correlation,yes,,,122,[ 0.65],roc_auc,6.0
19,19,basc_scale122,svc_l2,yes,no,ADNI,0,correlation,yes,,,122,[ 0.7125],roc_auc,6.0
20,20,basc_scale122,ridge,yes,no,ADNI,0,correlation,yes,,,122,[ 0.71666667],roc_auc,6.0
