,atlas,classifier,dataset,measure,scores
0,aal_spm12,svc_l1,acpi,correlation,0.265625
1,aal_spm12,svc_l2,acpi,correlation,0.3203125
2,aal_spm12,ridge,acpi,correlation,0.31640625
3,aal_spm12,svc_l1,acpi,partial correlation,0.64453125
4,aal_spm12,svc_l2,acpi,partial correlation,0.56640625
5,aal_spm12,ridge,acpi,partial correlation,0.56640625
6,aal_spm12,svc_l1,acpi,tangent,0.43359375
7,aal_spm12,svc_l2,acpi,tangent,0.43359375
8,aal_spm12,ridge,acpi,tangent,0.44140625
9,aal_spm12,svc_l1,acpi,correlation,0.42578125
10,aal_spm12,svc_l2,acpi,correlation,0.33984375
11,aal_spm12,ridge,acpi,correlation,0.31640625
12,aal_spm12,svc_l1,acpi,partial correlation,0.4921875
13,aal_spm12,svc_l2,acpi,partial correlation,0.453125
14,aal_spm12,ridge,acpi,partial correlation,0.45703125
15,aal_spm12,svc_l1,acpi,tangent,0.44140625
16,aal_spm12,svc_l2,acpi,tangent,0.421875
17,aal_spm12,ridge,acpi,tangent,0.41796875
18,aal_spm12,svc_l1,acpi,correlation,0.46875
19,aal_spm12,svc_l2,acpi,correlation,0.43359375
20,aal_spm12,ridge,acpi,correlation,0.4453125
21,aal_spm12,svc_l1,acpi,partial correlation,0.40234375
22,aal_spm12,svc_l2,acpi,partial correlation,0.4765625
23,aal_spm12,ridge,acpi,partial correlation,0.44921875
24,aal_spm12,svc_l1,acpi,tangent,0.359375
25,aal_spm12,svc_l2,acpi,tangent,0.42578125
26,aal_spm12,ridge,acpi,tangent,0.421875
27,aal_spm12,svc_l1,acpi,correlation,0.45703125
28,aal_spm12,svc_l2,acpi,correlation,0.3125
29,aal_spm12,ridge,acpi,correlation,0.3125
30,aal_spm12,svc_l1,acpi,partial correlation,0.44921875
31,aal_spm12,svc_l2,acpi,partial correlation,0.328125
32,aal_spm12,ridge,acpi,partial correlation,0.328125
33,aal_spm12,svc_l1,acpi,tangent,0.3984375
34,aal_spm12,svc_l2,acpi,tangent,0.3046875
35,aal_spm12,ridge,acpi,tangent,0.3125
36,aal_spm12,svc_l1,acpi,correlation,0.55078125
37,aal_spm12,svc_l2,acpi,correlation,0.62109375
38,aal_spm12,ridge,acpi,correlation,0.6171875
39,aal_spm12,svc_l1,acpi,partial correlation,0.5078125
40,aal_spm12,svc_l2,acpi,partial correlation,0.609375
41,aal_spm12,ridge,acpi,partial correlation,0.61328125
42,aal_spm12,svc_l1,acpi,tangent,0.5625
43,aal_spm12,svc_l2,acpi,tangent,0.6328125
44,aal_spm12,ridge,acpi,tangent,0.6328125
45,aal_spm12,svc_l1,acpi,correlation,0.58984375
46,aal_spm12,svc_l2,acpi,correlation,0.515625
47,aal_spm12,ridge,acpi,correlation,0.5078125
48,aal_spm12,svc_l1,acpi,partial correlation,0.6640625
49,aal_spm12,svc_l2,acpi,partial correlation,0.578125
50,aal_spm12,ridge,acpi,partial correlation,0.578125
51,aal_spm12,svc_l1,acpi,tangent,0.51171875
52,aal_spm12,svc_l2,acpi,tangent,0.54296875
53,aal_spm12,ridge,acpi,tangent,0.54296875
54,aal_spm12,svc_l1,acpi,correlation,0.3203125
55,aal_spm12,svc_l2,acpi,correlation,0.3203125
56,aal_spm12,ridge,acpi,correlation,0.3203125
57,aal_spm12,svc_l1,acpi,partial correlation,0.38671875
58,aal_spm12,svc_l2,acpi,partial correlation,0.43359375
59,aal_spm12,ridge,acpi,partial correlation,0.42578125
60,aal_spm12,svc_l1,acpi,tangent,0.53125
61,aal_spm12,svc_l2,acpi,tangent,0.3984375
62,aal_spm12,ridge,acpi,tangent,0.3984375
63,aal_spm12,svc_l1,acpi,correlation,0.51953125
64,aal_spm12,svc_l2,acpi,correlation,0.45703125
65,aal_spm12,ridge,acpi,correlation,0.46875
66,aal_spm12,svc_l1,acpi,partial correlation,0.609375
67,aal_spm12,svc_l2,acpi,partial correlation,0.61328125
68,aal_spm12,ridge,acpi,partial correlation,0.59765625
69,aal_spm12,svc_l1,acpi,tangent,0.625
70,aal_spm12,svc_l2,acpi,tangent,0.63671875
71,aal_spm12,ridge,acpi,tangent,0.61328125
72,aal_spm12,svc_l1,acpi,correlation,0.4921875
73,aal_spm12,svc_l2,acpi,correlation,0.5234375
74,aal_spm12,ridge,acpi,correlation,0.53125
75,aal_spm12,svc_l1,acpi,partial correlation,0.55078125
76,aal_spm12,svc_l2,acpi,partial correlation,0.61328125
77,aal_spm12,ridge,acpi,partial correlation,0.625
78,aal_spm12,svc_l1,acpi,tangent,0.59375
79,aal_spm12,svc_l2,acpi,tangent,0.6328125
80,aal_spm12,ridge,acpi,tangent,0.63671875
81,aal_spm12,svc_l1,acpi,correlation,0.328125
82,aal_spm12,svc_l2,acpi,correlation,0.45703125
83,aal_spm12,ridge,acpi,correlation,0.46484375
84,aal_spm12,svc_l1,acpi,partial correlation,0.60546875
85,aal_spm12,svc_l2,acpi,partial correlation,0.47265625
