,atlas,classifier,dataset,dimensionality,iter_shuffle_split,measure,n_regions,scores
0,ho_cort_symm_split,svc_l1,ABIDE,96,0,correlation,,[ 0.63221236]
1,ho_cort_symm_split,svc_l2,ABIDE,96,0,correlation,,[ 0.67949812]
2,ho_cort_symm_split,ridge,ABIDE,96,0,correlation,,[ 0.6650734]
3,ho_cort_symm_split,svc_l1,ABIDE,96,0,partial correlation,,[ 0.56819734]
4,ho_cort_symm_split,svc_l2,ABIDE,96,0,partial correlation,,[ 0.55599181]
5,ho_cort_symm_split,ridge,ABIDE,96,0,partial correlation,,[ 0.55565039]
6,ho_cort_symm_split,svc_l1,ABIDE,96,0,tangent,,[ 0.64749061]
7,ho_cort_symm_split,svc_l2,ABIDE,96,0,tangent,,[ 0.67651075]
8,ho_cort_symm_split,ridge,ABIDE,96,0,tangent,,[ 0.66899966]
9,aal_spm12,svc_l1,ABIDE,117,0,correlation,,[ 0.62393308]
10,aal_spm12,svc_l2,ABIDE,117,0,correlation,,[ 0.66678047]
11,aal_spm12,ridge,ABIDE,117,0,correlation,,[ 0.65022192]
12,aal_spm12,svc_l1,ABIDE,117,0,partial correlation,,[ 0.58065893]
13,aal_spm12,svc_l2,ABIDE,117,0,partial correlation,,[ 0.61010584]
14,aal_spm12,ridge,ABIDE,117,0,partial correlation,,[ 0.60916695]
15,aal_spm12,svc_l1,ABIDE,117,0,tangent,,[ 0.58142711]
16,aal_spm12,svc_l2,ABIDE,117,0,tangent,,[ 0.69494708]
17,aal_spm12,ridge,ABIDE,117,0,tangent,,[ 0.69460567]
18,basc_scale122,svc_l1,ABIDE,122,0,correlation,,[ 0.6890577]
19,basc_scale122,svc_l2,ABIDE,122,0,correlation,,[ 0.69434961]
20,basc_scale122,ridge,ABIDE,122,0,correlation,,[ 0.68129054]
21,basc_scale122,svc_l1,ABIDE,122,0,partial correlation,,[ 0.53849437]
22,basc_scale122,svc_l2,ABIDE,122,0,partial correlation,,[ 0.6597815]
23,basc_scale122,ridge,ABIDE,122,0,partial correlation,,[ 0.66276886]
24,basc_scale122,svc_l1,ABIDE,122,0,tangent,,[ 0.54378628]
25,basc_scale122,svc_l2,ABIDE,122,0,tangent,,[ 0.70723797]
26,basc_scale122,ridge,ABIDE,122,0,tangent,,[ 0.70749403]
27,ho_cort_symm_split,svc_l1,ABIDE,96,1,correlation,,[ 0.64962445]
28,ho_cort_symm_split,svc_l2,ABIDE,96,1,correlation,,[ 0.67625469]
29,ho_cort_symm_split,ridge,ABIDE,96,1,correlation,,[ 0.63955275]
30,ho_cort_symm_split,svc_l1,ABIDE,96,1,partial correlation,,[ 0.50930352]
31,ho_cort_symm_split,svc_l2,ABIDE,96,1,partial correlation,,[ 0.53849437]
32,ho_cort_symm_split,ridge,ABIDE,96,1,partial correlation,,[ 0.54028679]
33,ho_cort_symm_split,svc_l1,ABIDE,96,1,tangent,,[ 0.6242745]
34,ho_cort_symm_split,svc_l2,ABIDE,96,1,tangent,,[ 0.65005121]
35,ho_cort_symm_split,ridge,ABIDE,96,1,tangent,,[ 0.64177194]
36,aal_spm12,svc_l1,ABIDE,117,1,correlation,,[ 0.63263913]
37,aal_spm12,svc_l2,ABIDE,117,1,correlation,,[ 0.654831]
38,aal_spm12,ridge,ABIDE,117,1,correlation,,[ 0.65167293]
39,aal_spm12,svc_l1,ABIDE,117,1,partial correlation,,[ 0.58185388]
40,aal_spm12,svc_l2,ABIDE,117,1,partial correlation,,[ 0.66857289]
41,aal_spm12,ridge,ABIDE,117,1,partial correlation,,[ 0.66857289]
42,aal_spm12,svc_l1,ABIDE,117,1,tangent,,[ 0.62598156]
43,aal_spm12,svc_l2,ABIDE,117,1,tangent,,[ 0.73147832]
44,aal_spm12,ridge,ABIDE,117,1,tangent,,[ 0.7322465]
45,basc_scale122,svc_l1,ABIDE,122,1,correlation,,[ 0.67847388]
46,basc_scale122,svc_l2,ABIDE,122,1,correlation,,[ 0.68257084]
47,basc_scale122,ridge,ABIDE,122,1,correlation,,[ 0.67958348]
48,basc_scale122,svc_l1,ABIDE,122,1,partial correlation,,[ 0.61130079]
49,basc_scale122,svc_l2,ABIDE,122,1,partial correlation,,[ 0.65687948]
50,basc_scale122,ridge,ABIDE,122,1,partial correlation,,[ 0.65781837]
51,basc_scale122,svc_l1,ABIDE,122,1,tangent,,[ 0.63101741]
52,basc_scale122,svc_l2,ABIDE,122,1,tangent,,[ 0.69426425]
53,basc_scale122,ridge,ABIDE,122,1,tangent,,[ 0.69571526]
54,ho_cort_symm_split,svc_l1,ABIDE,96,2,correlation,,[ 0.63596791]
