,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,iter_shuffle_split,measure,motion_regress,n_clusters,n_components,n_iter,n_regions,scores,scoring,smoothing_fwhm
0,0,ho_cort_symm_split,svc_l1,yes,no,COBRE,0.0,correlation,yes,,,,96,[ 0.565625],roc_auc,6.0
1,1,ho_cort_symm_split,svc_l2,yes,no,COBRE,0.0,correlation,yes,,,,96,[ 0.778125],roc_auc,6.0
2,2,ho_cort_symm_split,ridge,yes,no,COBRE,0.0,correlation,yes,,,,96,[ 0.78125],roc_auc,6.0
3,3,ho_cort_symm_split,svc_l1,yes,no,COBRE,0.0,partial correlation,yes,,,,96,[ 0.546875],roc_auc,6.0
4,4,ho_cort_symm_split,svc_l2,yes,no,COBRE,0.0,partial correlation,yes,,,,96,[ 0.50625],roc_auc,6.0
5,5,ho_cort_symm_split,ridge,yes,no,COBRE,0.0,partial correlation,yes,,,,96,[ 0.509375],roc_auc,6.0
6,6,ho_cort_symm_split,svc_l1,yes,no,COBRE,0.0,tangent,yes,,,,96,[ 0.49375],roc_auc,6.0
7,7,ho_cort_symm_split,svc_l2,yes,no,COBRE,0.0,tangent,yes,,,,96,[ 0.615625],roc_auc,6.0
8,8,ho_cort_symm_split,ridge,yes,no,COBRE,0.0,tangent,yes,,,,96,[ 0.61875],roc_auc,6.0
9,9,aal_spm12,svc_l1,yes,no,COBRE,0.0,correlation,yes,,,,117,[ 0.684375],roc_auc,6.0
10,10,aal_spm12,svc_l2,yes,no,COBRE,0.0,correlation,yes,,,,117,[ 0.765625],roc_auc,6.0
11,11,aal_spm12,ridge,yes,no,COBRE,0.0,correlation,yes,,,,117,[ 0.7625],roc_auc,6.0
12,12,aal_spm12,svc_l1,yes,no,COBRE,0.0,partial correlation,yes,,,,117,[ 0.30625],roc_auc,6.0
13,13,aal_spm12,svc_l2,yes,no,COBRE,0.0,partial correlation,yes,,,,117,[ 0.68125],roc_auc,6.0
14,14,aal_spm12,ridge,yes,no,COBRE,0.0,partial correlation,yes,,,,117,[ 0.678125],roc_auc,6.0
15,15,aal_spm12,svc_l1,yes,no,COBRE,0.0,tangent,yes,,,,117,[ 0.659375],roc_auc,6.0
16,16,aal_spm12,svc_l2,yes,no,COBRE,0.0,tangent,yes,,,,117,[ 0.83125],roc_auc,6.0
17,17,aal_spm12,ridge,yes,no,COBRE,0.0,tangent,yes,,,,117,[ 0.8375],roc_auc,6.0
18,18,basc_scale122,svc_l1,yes,no,COBRE,0.0,correlation,yes,,,,122,[ 0.746875],roc_auc,6.0
19,19,basc_scale122,svc_l2,yes,no,COBRE,0.0,correlation,yes,,,,122,[ 0.778125],roc_auc,6.0
20,20,basc_scale122,ridge,yes,no,COBRE,0.0,correlation,yes,,,,122,[ 0.771875],roc_auc,6.0
21,21,basc_scale122,svc_l1,yes,no,COBRE,0.0,partial correlation,yes,,,,122,[ 0.6625],roc_auc,6.0
22,22,basc_scale122,svc_l2,yes,no,COBRE,0.0,partial correlation,yes,,,,122,[ 0.725],roc_auc,6.0
23,23,basc_scale122,ridge,yes,no,COBRE,0.0,partial correlation,yes,,,,122,[ 0.725],roc_auc,6.0
24,24,basc_scale122,svc_l1,yes,no,COBRE,0.0,tangent,yes,,,,122,[ 0.73125],roc_auc,6.0
25,25,basc_scale122,svc_l2,yes,no,COBRE,0.0,tangent,yes,,,,122,[ 0.8],roc_auc,6.0
